sequence,correct,origname
flex_40,resfindernewid_1273,blaTEM-1B_1_AY458016
flex_41,resfindernewid_1272,blaTEM-1A_1_HM749966
flex_42,resfindernewid_1275,blaTEM-1D_1_AF188200
flex_43,resfindernewid_1274,blaTEM-1C_1_FJ560503
flex_44,resfindernewid_1277,blaTEM-2_2_AJ251946
flex_45,resfindernewid_1276,blaTEM-2_1_X54606
flex_46,resfindernewid_1877,blaVIM-46_1_KP749829
flex_47,resfindernewid_1876,blaZ_138_CP003979
flex_48,resfindernewid_1875,blaZ_137_GQ915265
flex_49,resfindernewid_252,ant(9)-Ia_2_M69221
flex_50,resfindernewid_1873,blaZ_135_AB811795
flex_51,resfindernewid_1872,blaZ_134_NZ_AJGE01000047
flex_52,resfindernewid_1871,blaZ_133_AIDT01000014
flex_53,resfindernewid_1870,blaZ_132_AHVO01000010
flex_54,resfindernewid_1879,blaVIM-44_1_KP681696
flex_55,resfindernewid_1878,blaVIM-45_1_KP681695
flex_56,resfindernewid_2494,lnu(D)_1_EF452177
flex_57,resfindernewid_763,blaKPC-4_1_FJ473382
flex_58,resfindernewid_1408,blaTEM-193_1_JN935135
flex_59,resfindernewid_1619,blaGES-8_1_AF329699
flex_60,resfindernewid_1618,blaGES-7_1_HM453325
flex_61,resfindernewid_1617,blaGES-6_1_AY494718
flex_62,resfindernewid_1616,blaGES-5_1_DQ236171
flex_63,resfindernewid_1615,blaGES-4_1_AB116723
flex_64,resfindernewid_1409,blaTEM-194_1_JN935136
flex_65,resfindernewid_1613,blaGES-2_1_AF326355
flex_66,resfindernewid_1612,blaGES-1_1_HQ170511
flex_67,resfindernewid_1611,blaNDM-13_1_LC012596
flex_68,resfindernewid_1610,blaNDM-12_1_AB926431
flex_69,resfindernewid_1406,blaTEM-189_1_JN254627
flex_70,resfindernewid_1407,blaTEM-190_1_JN416112
flex_71,resfindernewid_2495,lnu(F)_1_EU118119
flex_72,resfindernewid_1589,blaVIM-28_1_JF900599
flex_73,resfindernewid_1588,blaVIM-27_1_HQ858608
flex_74,resfindernewid_1587,blaVIM-26_1_FR748153
flex_75,resfindernewid_1586,blaVIM-25_1_HM750249
flex_76,resfindernewid_1585,blaVIM-24_1_HM855205
flex_77,resfindernewid_1584,blaVIM-23_1_GQ242167
flex_78,resfindernewid_1583,blaVIM-20_1_GQ414736
flex_79,resfindernewid_1582,blaVIM-19_1_FJ499397
flex_80,resfindernewid_1581,blaVIM-18_1_AM778091
flex_81,resfindernewid_1580,blaVIM-17_1_EU118148
flex_82,resfindernewid_1051,blaOXA-225_1_JN638887
flex_83,resfindernewid_1050,blaOXA-224_1_JN412067
flex_84,resfindernewid_1053,blaOXA-228_1_JQ422053
flex_85,resfindernewid_1052,blaOXA-226_1_FJ617207
flex_86,resfindernewid_1055,blaOXA-230_1_JQ422054
flex_87,resfindernewid_1054,blaOXA-229_1_JQ422052
flex_88,resfindernewid_1057,blaOXA-232_1_JX423831
flex_89,resfindernewid_1056,blaOXA-231_1_JQ326200
flex_90,resfindernewid_1059,blaOXA-234_1_NG_050607
flex_91,resfindernewid_1058,blaOXA-233_1_KJ657570
flex_92,resfindernewid_1729,blaOXA-284_1_APRU01000004
flex_93,resfindernewid_1728,blaOXA-283_1_AYHO01000005
flex_94,resfindernewid_2497,lnu(F)_3_AJ561197
flex_95,resfindernewid_2383,VanHDX_2_EU999036
flex_96,resfindernewid_1293,blaTEM-30_1_AJ437107
flex_97,resfindernewid_1292,blaTEM-29_1_DQ269440
flex_98,resfindernewid_1291,blaTEM-28_1_U37195
flex_99,resfindernewid_1290,blaTEM-24_1_GQ293500
flex_100,resfindernewid_1297,blaTEM-45_1_X95401
flex_101,resfindernewid_1296,blaTEM-43_1_U95363
flex_102,resfindernewid_1295,blaTEM-34_1_KC292503
flex_103,resfindernewid_1294,blaTEM-33_1_GU371926
flex_104,resfindernewid_1299,blaTEM-48_1_Y10280
flex_105,resfindernewid_1298,blaTEM-47_1_Y10279
flex_106,resfindernewid_2491,lnu(A)_1_M14039
flex_107,resfindernewid_2266,mcr-1.11_1_KY853650
flex_108,resfindernewid_1125,blaOXY-2-6_6_AY077485
flex_109,resfindernewid_1124,blaOXY-2-5_5_AY077487
flex_110,resfindernewid_1127,blaOXY-2-8_8_AY055205
flex_111,resfindernewid_1126,blaOXY-2-7_7_Z49084
flex_112,resfindernewid_1121,blaOXY-2-2_2_AJ871867
flex_113,resfindernewid_1120,blaOXY-2-1_1_AJ871866
flex_114,resfindernewid_1123,blaOXY-2-4_4_Y17714
flex_115,resfindernewid_1122,blaOXY-2-3_3_AY077488
flex_116,resfindernewid_3008,dfrA32_1_GU067642
flex_117,resfindernewid_1129,blaOXY-2-10_10_FJ785626
flex_118,resfindernewid_1128,blaOXY-2-9_9_FJ785625
flex_119,resfindernewid_2968,tet(O/32/O)_5_FP929050
flex_120,resfindernewid_2969,tet(S/M)_1_HM367711
flex_121,resfindernewid_2964,tet(O/W/32/O/W/O)_2_DQ679926
flex_122,resfindernewid_2965,tet(O/32/O)_1_JQ740052
flex_123,resfindernewid_2966,tet(O/32/O)_2_AJ295238
flex_124,resfindernewid_2967,tet(O/32/O)_3_NZ_AUJS01000017
flex_125,resfindernewid_2960,tet(O/W/32/O)_1_EF065523
flex_126,resfindernewid_2961,tet(O/W/32/O)_2_FM164392
flex_127,resfindernewid_2962,tet(O/W/32/O)_5_JQ740053
flex_128,resfindernewid_2963,tet(O/W/32/O/W/O)_1_DQ525023
flex_129,resfindernewid_3078,dfrA17_9_FJ807902
flex_130,resfindernewid_3066,dfrB2_2_AY553333
flex_131,resfindernewid_2810,sul2_8_AJ877041
flex_132,resfindernewid_2811,sul2_9_FJ197818
flex_133,resfindernewid_2812,sul2_10_AM183225
flex_134,resfindernewid_2813,sul2_11_AY232670
flex_135,resfindernewid_2814,sul2_12_AF497970
flex_136,resfindernewid_2815,sul2_13_AJ289135
flex_137,resfindernewid_2816,sul2_14_AJ514834
flex_138,resfindernewid_2643,cfr(B)_2_KM359438
flex_139,resfindernewid_2818,sul2_17_U57647
flex_140,resfindernewid_2819,sul2_18_AJ830714
flex_141,resfindernewid_578,blaCMY-80_1_JQ733577
flex_142,resfindernewid_579,blaCMY-81_1_JQ733578
flex_143,resfindernewid_574,blaCMY-76_1_JQ733573
flex_144,resfindernewid_575,blaCMY-77_1_JX440353
flex_145,resfindernewid_576,blaCMY-78_1_JQ733575
flex_146,resfindernewid_577,blaCMY-79_1_JQ733576
flex_147,resfindernewid_570,blaCMY-72_1_JX440352
flex_148,resfindernewid_571,blaCMY-73_1_GQ351345
flex_149,resfindernewid_572,blaCMY-74_1_JX440349
flex_150,resfindernewid_573,blaCMY-75_1_JQ733572
flex_151,resfindernewid_686,blaCTX-M-129_1_JX017364
flex_152,resfindernewid_687,blaCTX-M-130_1_JX017365
flex_153,resfindernewid_684,blaCTX-M-125_1_JQ724542
flex_154,resfindernewid_685,blaCTX-M-126_1_AB703103
flex_155,resfindernewid_682,blaCTX-M-123_1_JN790864
flex_156,resfindernewid_683,blaCTX-M-124_1_JQ429324
flex_157,resfindernewid_680,blaCTX-M-117_1_JN227085
flex_158,resfindernewid_681,blaCTX-M-121_1_JN790862
flex_159,resfindernewid_688,blaCTX-M-131_1_JN969893
flex_160,resfindernewid_689,blaCTX-M-132_1_JX313020
flex_161,resfindernewid_2748,qnrD2_1_KF055448
flex_162,resfindernewid_2749,qnrD3_1_KX130945
flex_163,resfindernewid_2218,blaCARB-14_1_JQ364968
flex_164,resfindernewid_2219,blaCARB-16_1_HF953351
flex_165,resfindernewid_2216,blaCARB-11_1_AY008290
flex_166,resfindernewid_2217,blaCARB-12_1_D13210
flex_167,resfindernewid_2214,blaCARB-9_1_AY248038
flex_168,resfindernewid_2215,blaCARB-10_1_EU850412
flex_169,resfindernewid_2212,blaCARB-7_1_AF409092
flex_170,resfindernewid_2213,blaCARB-8_1_AY178993
flex_171,resfindernewid_2210,blaCARB-5_1_AF135373
flex_172,resfindernewid_2211,blaCARB-6_1_AF030945
flex_173,resfindernewid_376,blaOXA-485_1_LLNM01000004
flex_174,resfindernewid_377,blaOXA-486_1_AY597426
flex_175,resfindernewid_374,blaOXA-483_1_KP264125
flex_176,resfindernewid_375,blaOXA-484_1_KR401105
flex_177,resfindernewid_372,blaOXA-480_1_KR872296
flex_178,resfindernewid_373,blaOXA-482_1_KP264124
flex_179,resfindernewid_370,blaOXA-478_1_KR182171
flex_180,resfindernewid_371,blaOXA-479_1_KR182172
flex_181,resfindernewid_2607,catB3_2_U13880
flex_182,resfindernewid_378,blaOXA-488_1_CP017969
flex_183,resfindernewid_379,blaOXA-489_1_CP013733
flex_184,resfindernewid_2102,blaCMY-8b_1_DQ094251
flex_185,resfindernewid_1903,blaIMP-48_1_KM087857
flex_186,resfindernewid_2100,blaCMY-10_1_AF381615
flex_187,resfindernewid_2101,blaCMY-11_1_AF357599
flex_188,resfindernewid_2106,blaDHA-26_1_MH067966
flex_189,resfindernewid_2107,blaDHA-25_1_KY563770
flex_190,resfindernewid_2104,blaCMY-2b_1_U77414
flex_191,resfindernewid_1902,blaIMP-49_1_KP681694
flex_192,resfindernewid_2108,blaDHA-24_1_KU759569
flex_193,resfindernewid_2109,blaDHA-23_1_KX068223
flex_194,resfindernewid_1901,blaIMP-51_1_LC031883
flex_195,resfindernewid_754,blaIND-8_1_GU186044
flex_196,resfindernewid_755,blaIND-9_1_GU186045
flex_197,resfindernewid_208,aph(3')-Va_1_K00432
flex_198,resfindernewid_209,aph(3')-Vb_1_M22126
flex_199,resfindernewid_750,blaIND-4_1_AF219135
flex_200,resfindernewid_751,blaIND-5_1_AY504627
flex_201,resfindernewid_752,blaIND-6_1_AM087455
flex_202,resfindernewid_753,blaIND-7_1_AB529520
flex_203,resfindernewid_202,aph(3')-Id_1_Z48231
flex_204,resfindernewid_203,aph(3')-IIa_1_X57709
flex_205,resfindernewid_200,aph(3')-Ib_1_M20305
flex_206,resfindernewid_201,aph(3'')-Ic_1_DQ336355
flex_207,resfindernewid_206,aph(3')-III_1_M26832
flex_208,resfindernewid_207,aph(3')-IV_1_X03364
flex_209,resfindernewid_204,aph(3')-IIb_1_X90856
flex_210,resfindernewid_205,aph(3')-IIc_1_AM743169
flex_211,resfindernewid_198,aph(2'')-Ie_1_AY743255
flex_212,resfindernewid_199,aph(3')-Ia_1_V00359
flex_213,resfindernewid_1905,blaIMP-67_1_MF281100
flex_214,resfindernewid_192,ant(4')-IIb_1_AY114142
flex_215,resfindernewid_193,ant(6)-Ia_1_AF330699
flex_216,resfindernewid_190,ant(4')-Ib_1_AJ506108
flex_217,resfindernewid_191,ant(4')-IIa_1_M98270
flex_218,resfindernewid_196,aph(2'')-Ic_1_U51479
flex_219,resfindernewid_197,aph(2'')-Id_1_AF016483
flex_220,resfindernewid_194,ant(6)-Ib_1_FN594949
flex_221,resfindernewid_195,aph(2'')-Ib_1_AF337947
flex_222,resfindernewid_992,blaOXA-144_1_FJ872530
flex_223,resfindernewid_993,blaOXA-145_1_FJ790516
flex_224,resfindernewid_990,blaOXA-142_1_LC169567
flex_225,resfindernewid_991,blaOXA-143_1_GQ861437
flex_226,resfindernewid_996,blaOXA-148_1_GQ853679
flex_227,resfindernewid_997,blaOXA-149_1_GQ853680
flex_228,resfindernewid_994,blaOXA-146_1_FJ194494
flex_229,resfindernewid_995,blaOXA-147_1_FJ848783
flex_230,resfindernewid_2568,erm(U)_1_NG_047843
flex_231,resfindernewid_2569,lsa(E)_1_JX560992
flex_232,resfindernewid_998,blaOXA-150_1_GQ853681
flex_233,resfindernewid_999,blaOXA-160_1_GU199038
flex_234,resfindernewid_2366,VanC3XY_1_AY033764
flex_235,resfindernewid_2367,VanC1XY_2_DQ022190
flex_236,resfindernewid_2364,VanXY_C2_1_AY033089
flex_237,resfindernewid_1874,blaZ_136_NZ_ALWE01000009
flex_238,resfindernewid_2362,VanHBX_2_U35369
flex_239,resfindernewid_2363,VanC1XY_1_AF162694
flex_240,resfindernewid_2360,dldHA2X_1_AL939117
flex_241,resfindernewid_2361,VanHBX_1_AF192329
flex_242,resfindernewid_2368,VanC2XY_1_EU151754
flex_243,resfindernewid_2369,VanC4XY_1_EU151752
flex_244,resfindernewid_2638,cat_4_AY238971
flex_245,resfindernewid_2639,catQ_1_M55620
flex_246,resfindernewid_3061,dfrA7_2_AJ884724
flex_247,resfindernewid_2224,blaCARB-21_1_NG_048724
flex_248,resfindernewid_1468,imiS_1_Y10415
flex_249,resfindernewid_1469,blaBIL-1_1_X74512
flex_250,resfindernewid_2148,blaTEM-196_1_JQ034306
flex_251,resfindernewid_1460,blaAST-1_1_AF279904
flex_252,resfindernewid_1461,blaCKO-1_1_AF477396
flex_253,resfindernewid_1462,blaCME-1_1_AJ006275
flex_254,resfindernewid_1463,blaDES-1_1_AF426161
flex_255,resfindernewid_1464,blaLUT-1_1_AY695112
flex_256,resfindernewid_1465,blaSED1_1_AF321608
flex_257,resfindernewid_1466,penA_1_AF515059
flex_258,resfindernewid_1467,imiH_1_AJ548797
flex_259,resfindernewid_1918,blaIMP-25_1_EU541448
flex_260,resfindernewid_1919,blaIMP-71_1_MG818167
flex_261,resfindernewid_2602,optrA_18_ALMH01000001
flex_262,resfindernewid_1268,blaSHV-172_1_KF513177
flex_263,resfindernewid_1269,blaSHV-173_1_KF513178
flex_264,resfindernewid_1266,blaSHV-165_1_JX121131
flex_265,resfindernewid_1267,blaSHV-168_1_JX870080
flex_266,resfindernewid_1264,blaSHV-163_1_JX121130
flex_267,resfindernewid_1265,blaSHV-164_1_HE981194
flex_268,resfindernewid_1262,blaSHV-161_1_JX121128
flex_269,resfindernewid_1263,blaSHV-162_1_JX121129
flex_270,resfindernewid_1260,blaSHV-159_1_JX121126
flex_271,resfindernewid_1261,blaSHV-160_1_JX121127
flex_272,resfindernewid_1864,blaZ_125_CP003194
flex_273,resfindernewid_1865,blaZ_126_NC_013374
flex_274,resfindernewid_1866,blaZ_127_ACFR01000018
flex_275,resfindernewid_1867,blaZ_128_GQ900471
flex_276,resfindernewid_1860,blaZ_121_AIWM01000014
flex_277,resfindernewid_1861,blaZ_122_NZ_AJGE01000057
flex_278,resfindernewid_1862,blaZ_123_NC_013653
flex_279,resfindernewid_1863,blaZ_124_NC_013944
flex_280,resfindernewid_2142,blaTEM-169_1_KP012538
flex_281,resfindernewid_2540,mef(A)_1_AJ971089
flex_282,resfindernewid_1868,blaZ_130_AHKZ01000073
flex_283,resfindernewid_1869,blaZ_131_GQ900485
flex_284,resfindernewid_2143,blaTEM-144_1_AM049400
flex_285,resfindernewid_2636,catA1_1_V00622
flex_286,resfindernewid_2637,catA2_1_X53796
flex_287,resfindernewid_1608,blaNDM-9_1_KC999080
flex_288,resfindernewid_1609,blaNDM-10_1_KF361506
flex_289,resfindernewid_1604,blaNDM-5_1_JN104597
flex_290,resfindernewid_1605,blaNDM-6_1_JN967644
flex_291,resfindernewid_1606,blaNDM-7_1_JX262694
flex_292,resfindernewid_1607,blaNDM-8_1_AB744718
flex_293,resfindernewid_1600,blaNDM-1_1_FN396876
flex_294,resfindernewid_1601,blaNDM-2_1_JF703135
flex_295,resfindernewid_1602,blaNDM-3_1_JQ734687
flex_296,resfindernewid_1603,blaNDM-4_1_JQ348841
flex_297,resfindernewid_321,blaOXA-412_1_KJ584921
flex_298,resfindernewid_1598,blaVIM-37_1_JX982636
flex_299,resfindernewid_1599,blaVIM-38_1_KC469971
flex_300,resfindernewid_320,blaOXA-411_1_KJ584920
flex_301,resfindernewid_1594,blaVIM-33_1_JX258134
flex_302,resfindernewid_1595,blaVIM-34_1_JX013656
flex_303,resfindernewid_1596,blaVIM-35_1_JX982634
flex_304,resfindernewid_1597,blaVIM-36_1_JX982635
flex_305,resfindernewid_1590,blaVIM-29_1_JX311308
flex_306,resfindernewid_491,blaACT-3_1_EF125013
flex_307,resfindernewid_1592,blaVIM-31_1_JN982330
flex_308,resfindernewid_1593,blaVIM-32_1_JN676230
flex_309,resfindernewid_1046,blaOXA-216_1_FR865168
flex_310,resfindernewid_1047,blaOXA-217_1_JN603240
flex_311,resfindernewid_1044,blaOXA-214_1_JN861782
flex_312,resfindernewid_1045,blaOXA-215_1_JN861783
flex_313,resfindernewid_1042,blaOXA-212_1_JN861780
flex_314,resfindernewid_1043,blaOXA-213_1_JN861781
flex_315,resfindernewid_1040,blaOXA-210_1_JF795487
flex_316,resfindernewid_1041,blaOXA-211_1_JN861779
flex_317,resfindernewid_1738,blaOXA-272_1_LSAL01000001
flex_318,resfindernewid_325,blaOXA-416_1_KP264119
flex_319,resfindernewid_1048,blaOXA-219_1_JN215211
flex_320,resfindernewid_1049,blaOXA-223_1_JN248564
flex_321,resfindernewid_495,blaACT-7_1_FJ237368
flex_322,resfindernewid_326,blaOXA-417_1_KM220587
flex_323,resfindernewid_710,blaFOX-4_1_AJ277535
flex_324,resfindernewid_247,aac(3)-IIa_4_L22613
flex_325,resfindernewid_244,aac(3)-IIIb_2_LLLC01000048
flex_326,resfindernewid_1280,blaTEM-8_1_X65252
flex_327,resfindernewid_1281,blaTEM-10_1_AF093512
flex_328,resfindernewid_1282,blaTEM-11_1_AY874537
flex_329,resfindernewid_713,blaFOX-7_1_AJ703796
flex_330,resfindernewid_1284,blaTEM-15_1_AM849805
flex_331,resfindernewid_1285,blaTEM-16_1_X65254
flex_332,resfindernewid_1286,blaTEM-17_1_Y14574
flex_333,resfindernewid_1287,blaTEM-20_1_EU527189
flex_334,resfindernewid_1288,blaTEM-21_1_Y17582
flex_335,resfindernewid_714,blaFOX-8_1_HM565917
flex_336,resfindernewid_715,blaFOX-9_1_JF896803
flex_337,resfindernewid_1614,blaGES-3_1_AB113580
flex_338,resfindernewid_716,blaFOX-10_1_JX049131
flex_339,resfindernewid_717,blaGOB-1_1_EF394442
flex_340,resfindernewid_1138,blaPAO_1_AY083595
flex_341,resfindernewid_1139,blaPAO_2_FJ666065
flex_342,resfindernewid_1132,blaOXY-5-1_1_AJ871868
flex_343,resfindernewid_1133,blaOXY-5-2_2_AJ871871
flex_344,resfindernewid_1130,blaOXY-3-1_1_AF491278
flex_345,resfindernewid_1131,blaOXY-4-1_1_AY077481
flex_346,resfindernewid_1136,blaOXY-6-3_3_AJ871876
flex_347,resfindernewid_1137,blaOXY-6-4_4_AJ871877
flex_348,resfindernewid_1134,blaOXY-6-1_1_AJ871873
flex_349,resfindernewid_1135,blaOXY-6-2_2_AJ871875
flex_350,resfindernewid_2482,vga(A)LC_1_GQ891882
flex_351,resfindernewid_2684,qnrB25_1_HQ172108
flex_352,resfindernewid_2687,qnrB28_1_HM439643
flex_353,resfindernewid_2686,qnrB27_1_HM439641
flex_354,resfindernewid_3031,dfrA1_17_FJ489928
flex_355,resfindernewid_3030,dfrA1_16_FJ001872
flex_356,resfindernewid_2951,tet(O/W)_2_AM889119
flex_357,resfindernewid_2950,tet(O/W)_1_AM889118
flex_358,resfindernewid_2953,tet(O/W)_4_AM889121
flex_359,resfindernewid_2952,tet(O/W)_3_AM889120
flex_360,resfindernewid_2955,tet(O/W)-2_1_AY485122
flex_361,resfindernewid_2954,tet(O/W)_5_AM889122
flex_362,resfindernewid_2957,tet(O/W/O)-3_1_EF065524
flex_363,resfindernewid_2956,tet(O/W)-1_1_AY485126
flex_364,resfindernewid_2959,tet(O/W/O)-1_1_AY196921
flex_365,resfindernewid_2958,tet(O/W/O)-2_1_AY196920
flex_366,resfindernewid_2710,qnrB51_1_JX440358
flex_367,resfindernewid_563,blaCMY-65_1_JF780936
flex_368,resfindernewid_562,blaCMY-64_1_HQ832678
flex_369,resfindernewid_561,blaCMY-63_1_HQ650104
flex_370,resfindernewid_560,blaCMY-62_1_JF460796
flex_371,resfindernewid_567,blaCMY-69_1_JX049132
flex_372,resfindernewid_566,blaCMY-68_1_JN714480
flex_373,resfindernewid_565,blaCMY-67_1_JQ711185
flex_374,resfindernewid_564,blaCMY-66_1_JN714478
flex_375,resfindernewid_2689,qnrB30_1_HM439650
flex_376,resfindernewid_569,blaCMY-71_1_JQ711184
flex_377,resfindernewid_568,blaCMY-70_1_JX440350
flex_378,resfindernewid_2688,qnrB29_1_HM439649
flex_379,resfindernewid_2134,blaTEM-40_1_FR717535
flex_380,resfindernewid_2825,sul1_35_AB281182
flex_381,resfindernewid_2824,sul1_34_AY047357
flex_382,resfindernewid_2827,sul1_39_AY522923
flex_383,resfindernewid_2826,sul1_38_BX248359
flex_384,resfindernewid_2821,sul2_20_AJ830710
flex_385,resfindernewid_2820,sul2_19_AJ319822
flex_386,resfindernewid_2823,sul3_2_AJ459418
flex_387,resfindernewid_2822,sul2_21_AB366440
flex_388,resfindernewid_2829,sul1_37_AF188331
flex_389,resfindernewid_2828,sul1_36_X15024
flex_390,resfindernewid_2090,blaCMY-86_1_KJ207204
flex_391,resfindernewid_695,blaDHA-1_1_Y16410
flex_392,resfindernewid_694,blaCTX-M-147_1_KF513180
flex_393,resfindernewid_697,blaDHA-3_1_AY494945
flex_394,resfindernewid_696,blaDHA-2_1_AF259520
flex_395,resfindernewid_691,blaCTX-M-136_1_KC351754
flex_396,resfindernewid_690,blaCTX-M-134_1_JX896165
flex_397,resfindernewid_693,blaCTX-M-142_1_KF240809
flex_398,resfindernewid_692,blaCTX-M-139_1_KC107824
flex_399,resfindernewid_699,blaDHA-6_1_HQ322612
flex_400,resfindernewid_698,blaDHA-5_1_JF273491
flex_401,resfindernewid_2779,sul1_5_EU780013
flex_402,resfindernewid_2778,sul1_3_EU855787
flex_403,resfindernewid_2775,ARR-6_3_JF922883
flex_404,resfindernewid_2774,ARR-6_2_FM897214
flex_405,resfindernewid_2777,sul1_2_U12338
flex_406,resfindernewid_2776,ARR-7_1_FN397623
flex_407,resfindernewid_2771,ARR-4_1_EF660562
flex_408,resfindernewid_2770,ARR-3_4_FM207631
flex_409,resfindernewid_2773,ARR-6_1_FM955585
flex_410,resfindernewid_2772,ARR-5_1_EF660563
flex_411,resfindernewid_3070,dfrA17_11_JN645876
flex_412,resfindernewid_2268,mcr-1.13_1_MG384739
flex_413,resfindernewid_2630,cmlV_1_U09991
flex_414,resfindernewid_365,blaOXA-473_1_KR182166
flex_415,resfindernewid_364,blaOXA-472_1_KR182165
flex_416,resfindernewid_367,blaOXA-475_1_KR182168
flex_417,resfindernewid_366,blaOXA-474_1_KR182167
flex_418,resfindernewid_361,blaOXA-464_1_KU721146
flex_419,resfindernewid_360,blaOXA-461_1_KR061509
flex_420,resfindernewid_363,blaOXA-471_1_EU086833
flex_421,resfindernewid_362,blaOXA-470_1_KR182163
flex_422,resfindernewid_369,blaOXA-477_1_KR182170
flex_423,resfindernewid_368,blaOXA-476_1_KR182169
flex_424,resfindernewid_888,blaOXA-34_1_AF350424
flex_425,resfindernewid_889,blaOXA-35_1_AF315786
flex_426,resfindernewid_2631,floR_1_AF071555
flex_427,resfindernewid_2177,blaSHV-71_1_AM176546
flex_428,resfindernewid_2176,blaSHV-42_1_AF535130
flex_429,resfindernewid_2175,blaSHV-38_1_AY079099
flex_430,resfindernewid_2174,blaSHV-32_1_AY037778
flex_431,resfindernewid_2173,blaSHV-12_1_KF976405
flex_432,resfindernewid_2172,blaSHV-11_1_X98101
flex_433,resfindernewid_2171,blaSHV-9_1_S82452
flex_434,resfindernewid_2170,blaSHV-3_1_KX092356
flex_435,resfindernewid_927,blaOXA-79_1_EU019534
flex_436,resfindernewid_2179,blaSHV-119_1_JX192924
flex_437,resfindernewid_926,blaOXA-78_1_AY862132
flex_438,resfindernewid_219,aph(6)-Ib_1_X05648
flex_439,resfindernewid_218,aph(6)-Ia_1_AY971801
flex_440,resfindernewid_749,blaIND-3_1_AF219131
flex_441,resfindernewid_748,blaIND-2c_1_GU186042
flex_442,resfindernewid_969,blaOXA-119_1_DQ767903
flex_443,resfindernewid_968,blaOXA-118_1_AF371964
flex_444,resfindernewid_743,blaHERA-8_1_AJ536092
flex_445,resfindernewid_742,blaHERA-6_1_AJ536090
flex_446,resfindernewid_965,blaOXA-115_1_EU029998
flex_447,resfindernewid_740,blaHERA-4_1_AJ536088
flex_448,resfindernewid_963,blaOXA-114a_1_EU188842
flex_449,resfindernewid_962,blaOXA-114c_1_HM056041
flex_450,resfindernewid_745,blaIND-2_2_AF219127
flex_451,resfindernewid_744,blaIND-1_1_AF099139
flex_452,resfindernewid_189,ant(3'')-Ii-aac(6')-IId_1_AF453998
flex_453,resfindernewid_188,aadK_1_M26879
flex_454,resfindernewid_181,aadA17_1_FJ460181
flex_455,resfindernewid_180,aadA16_1_EU675686
flex_456,resfindernewid_183,aadA22_1_AM261837
flex_457,resfindernewid_182,aadA21_1_AY171244
flex_458,resfindernewid_185,aadA24_1_AM711129
flex_459,resfindernewid_184,aadA23_1_AJ809407
flex_460,resfindernewid_187,aadD_1_AF181950
flex_461,resfindernewid_186,ant(6)-Ia_2_KF421157
flex_462,resfindernewid_981,blaOXA-131_1_EU547446
flex_463,resfindernewid_980,blaOXA-130_1_EU547445
flex_464,resfindernewid_983,blaOXA-133_1_EU571228
flex_465,resfindernewid_982,blaOXA-132_1_EU547447
flex_466,resfindernewid_985,blaOXA-136_1_EU086831
flex_467,resfindernewid_984,blaOXA-134_1_HQ122933
flex_468,resfindernewid_987,blaOXA-138_1_EU670845
flex_469,resfindernewid_986,blaOXA-137_1_EU086834
flex_470,resfindernewid_989,blaOXA-141_1_EF552405
flex_471,resfindernewid_884,blaOXA-28_1_AF231133
flex_472,resfindernewid_2001,blaCTX-M-209_1_MH067959
